id,Date,Weekly_Sales
1,05/02/2014,1707.77
1,12/02/2014,1890.97
1,19/02/2014,2008.39
1,26/02/2014,1366.83
1,05/03/2014,1492
1,12/03/2014,1338.83
1,19/03/2014,1174.83
1,26/03/2014,1201.53
1,02/04/2014,1645.8
1,09/04/2014,1706.83
1,16/04/2014,1535
1,23/04/2014,1852
1,30/04/2014,1358
1,07/05/2014,1368
1,14/05/2014,1452.99
1,21/05/2014,1409
1,28/05/2014,1465.99
1,04/06/2014,1558.83
1,11/06/2014,1837.99
1,18/06/2014,2285
1,25/06/2014,2614
1,02/07/2014,1713.97
1,09/07/2014,1296.99
1,16/07/2014,1388.82
1,23/07/2014,1849.83
1,30/07/2014,1674.81
1,06/08/2014,1704
1,13/08/2014,2513.96
1,20/08/2014,2236.99
1,27/08/2014,2764.81
1,03/09/2014,4407.83
1,10/09/2014,4030.97
1,17/09/2014,4485
1,24/09/2014,3888.9
1,01/10/2014,4525.99
1,08/10/2014,4660.98
1,15/10/2014,5213.89
1,22/10/2014,5287.97
1,29/10/2014,10499
1,05/11/2014,4323.84
1,12/11/2014,1950.53
1,19/11/2014,2250
1,26/11/2014,3295.5
1,03/12/2014,2925.5
1,10/12/2014,3926.49
1,17/12/2014,4716.63
1,24/12/2014,10473
1,31/12/2014,2117
1,07/01/2015,1217.75
1,14/01/2015,1108
1,21/01/2015,1174.75
1,28/01/2015,924
1,04/02/2015,2250
1,11/02/2015,4129
1,18/02/2015,3036
1,25/02/2015,2242.5
1,04/03/2015,2081.5
1,11/03/2015,2352
1,18/03/2015,1990
1,25/03/2015,1150
1,01/04/2015,2762
1,08/04/2015,2211.5
1,15/04/2015,1721
1,22/04/2015,1874
1,29/04/2015,1898.5
1,06/05/2015,2226.5
1,13/05/2015,2742
1,20/05/2015,1576.5
1,27/05/2015,2093.75
1,03/06/2015,3648
1,10/06/2015,4010
1,17/06/2015,8597
1,24/06/2015,4650
1,01/07/2015,2208.5
1,08/07/2015,1939.45
1,15/07/2015,1159.5
1,22/07/2015,1319.5
1,29/07/2015,978.5
1,05/08/2015,915
1,12/08/2015,856.5
