date,id,sales,asins,brand,categories,name,Price
02/11/2016,1,4151.249991,B07DLYQ2R2,ALPINE REMEDY,Skin Care, [ALPINE REMEDY] Blooming Cream 50ml  BEST Korea Cosmetic ,3292
02/11/2016,2,22432.30074,B01M0PPX6F,Proud2beskin,Skin Care, [HOLIKA HOLIKA] Black Caviar Anti-Wrinkle Eye Cream... ,5785
02/11/2016,3,4866.453429,B07FPW4LSV,Holika Holika,Skin Care, [Holika Holika] Spot Band Patch V Zone Patch 8g ,2050
02/11/2016,4,1606.79521,B00OOFIDHY,Innisfree,Skin Care, [Innisfree] Soybean Energy Essence Light 150ml ,3089
02/11/2016,5,12757.20869,B01N9K8CCZ,Leaders Insolution,Skin Care, [Leaders Insolution] Brightening Recovery Mask 10Pk ,8458
02/11/2016,6,4031.62868,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540
02/11/2016,7,9492.898481,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70
02/11/2016,8,70788.95604,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250
02/11/2016,9,13892.53145,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654
02/11/2016,10,55325.19901,B010E2H7ZO,Secret,Skin Care," 2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2) ",2059
02/11/2016,11,1732.131217,B07FMQY1DD,Nargis,Grocery & Gourmet Foods, 2018 Second Flush Darjeeling Tea Thurbo FTGFOP 1 (ch) Healthy Herbal Fresh Beverage 1 Kg ,2455
02/11/2016,12,5346.079695,B07D2FS891,DreamDeep,Skin Care, 3D Eye Mask ,2659
02/11/2016,13,35498.35056,B06XQ5RBB6,3nh,Bath & Shower, 3nh 500g : Laser Holographic Dark Peach Color 0.1MM 004 Fine Glitter Crafts Soapmaking Tatto Spa Products Ultrafine 1 Lot =50g ,8583
02/11/2016,14,13519.45376,B07Y3LQZH8,3nh,Skin Care, 3nh Gel SPA Socks Moisturizing Whitening Exfoliating Mask Ageless Beauty Foot Mask Feet Skin Care Silicone Sock & Color: Grey ,993
02/11/2016,15,4067.961401,B013ET3NG6,Palmer's,Skin Care, 3x Palmers Cocoa Butter Formula Moisturising Lotion Body/Face MEN Dry Skin 250ml ,4500
02/11/2016,16,3713.89003,B07KSDM92J,4700BC,Grocery & Gourmet Foods," 4700BC Himalayan Salt Caramel Popcorn, Tin, 110g - Special Edition: Robo 2.0 Movie ",120
02/11/2016,17,77059.56533,B07YNQQGHM,99Auth,Grocery & Gourmet Foods, 99Auth 5L Natural Raw Cold Pressed Gingelly Oil + Free Tasty Original 150g Country Brown Sugar & Also Free 250g Pure Desi Cow Ghee. Natural Pure Adulteration Free Products. ,4007
02/11/2016,18,6906.293813,B0774G27FZ,Aroma Magic,Skin Care, A M Clove Oil P Of 2 ,399
02/11/2016,19,2020.849792,B07JHQCWB9,Aarmella,Grocery & Gourmet Foods, Aarmella Milk Chocolate Filled with Crispy Balls & Mix DryFruits Bfly Big Transparent(Golden)(175Gram) ,249
02/11/2016,20,25415.50858,B07MC2SH3X,Aashish,Skin Care, Aashish Anti-Aging Day Cream Horse Oil Whitening Moisturizing Skin Care ,6697
02/11/2016,21,4114.186028,B07MSF4D8X,Aashish,Skin Care, Aashish Repairing Moisturizers Acid Day Creams Face Skin Care Whitening Skin ,1856
02/11/2016,22,39573.49976,B07QRP9MLR,Abra,Bath & Shower, Abra Sleep Therapy Bath 1Lb ,7040
02/11/2016,23,101433.533,B0013G1LAI,Absolute,Skin Care, Absolute Aromas Cedarwood Atlas Essential Oil ,2679
02/11/2016,24,33698.38643,B06XRWDN58,Academie,Skin Care, Academie AcadAromes Essential Revitalization Face - 15ml/0.5oz ,9450
02/11/2016,25,269.2426533,B00LWU95G2,adbeni,Skin Care, adbeni Papaya Mars Face and Body Cleansing Scrub Gel (100 ml) ,189
02/11/2016,26,20490.25165,B078YTBL59,Adidev Herbals,Hair Care, Adidev Herbals Fair and Glow Activated Charcoal Cream 250gms ,325
02/11/2016,27,58986.92229,B006HG9Q9W,Adrienne,Skin Care, Adrienne Vittadini AV Coffret: EDP Spray 90ml/3oz + Body Lotion 100ml/3.3oz + Shower Gel 100ml/3.3oz 3pcs ,4219
02/11/2016,28,54247.49281,B006LRCO32,Aekyung,Hair Care, Aekyung Kerasys Oriental Premium Treatment 200ml ,2389
02/11/2016,29,8973.097462,B01KU64ADQ,BODY,Skin Care, Aftershave Lotion for Men to Fight Razor Bumps & Ingrown Hairs with Best Natural Peppermint + Coffee + Aloe  Doubles as an AntiAging Face Moisturizer for Fine Lines & Wrinkles  1.6 oz by Body Merry ,3819
02/11/2016,30,41499.36567,B07XH69YXK,AGARAM,Grocery & Gourmet Foods," AGARAM 100% Natural Coconut Oil 1500 ml , Pack of 2 ",599
02/11/2016,31,8867.773796,B07YSJHPN5,Ajmal,Skin Care," Ajmal Aurum & Sacred Love & Wisal Dhahab Deodorant Spray  For Men & Women (200 ml, Pack of 3) ",897
02/11/2016,32,62706.39066,B07YSCVXCW,Ajmal,Skin Care," Ajmal Silver Shade Deodorant Spray - For Men (200 ml, Pack of 3) ",807
02/11/2016,33,16218.70333,B07B8G95P9,Kivalo,Fragrance, Al Alif Cigar Attar 100 Gms By Kivalo ,875
02/11/2016,34,27568.91231,B07NCJQYJC,Generic,Fragrance, Al Nuaim White Oudh 16ml  Attar perfume for All ,300
02/11/2016,35,94829.40479,B07FTCWDD6,Alanna Naturally Beautiful,Skin Care," Alanna Night Miracle Serum with Sea-Buckthorn Kumkumadi Oil Mulethi and Nag kesar - An Anti-aging Face Serum for Men, 10 ml ",779
02/11/2016,36,115875.6268,B07QM69WFR,Allegro,Grocery & Gourmet Foods," Allegro Marinade, Hickory Smk, 12.70Ounce Glass Bottle (Pack Of 6) ",8960
02/11/2016,37,3286.477299,B004J6TUV6,Aimee's Lotions 'n' Potions,Skin Care, Almond Bliss ~ All Natural Silkening Body Lotion ,4479
02/11/2016,38,3490.893779,B001C4CKFG,Aloe Advantage,Skin Care," Aloe Advantage Sham-Pony Body Wash, 16-Ounce ",3058
02/11/2016,39,7808.817362,B06XSHTQGZ,Aloe Life,Bath & Shower, Aloe Life Skin Gel Unscented -- 1 oz ,3859
02/11/2016,40,2261.197894,B07JJRLKX4,Himalaya,Skin Care, Aloe Vera Face Wash (200 ml) + Aloe Vera Facial Wipes 25 Count (Pack of 2) ,327
02/11/2016,41,6853.499429,B01GFLJB4I,Amazon Keratin,Hair Care, Amazon Keratin PASSION FRUIT HYDRATE CONDITIONER 473 ml ,3400
02/11/2016,42,12676.6789,B004F0RIXS,AURIC,Fragrance, Amber Patchouly  Auric Blends Fine Perfume Oil (1/3 Oz Rollon Bottle) ,2059
02/11/2016,43,46837.25446,B01KYBOM2G,Amina,Skin Care," Amina Ubtan Face Pack, Yellow, 600 g (Pack of 12) ",240
02/11/2016,44,3237.411834,B07VST4L89,Ancient Flower,Skin Care, Ancient Flower - Age Editor - Age Control Face oil Serum - with Rosehip Oil & Cuticle and Nail Oil (Nail tonic) (20 ml) ,299
02/11/2016,45,16255.49847,B07VMYLWX8,Ancient Flower,Skin Care, Ancient Flower  Natural Vitamin C and Lavender & Nail and Cuticle Care Oil (20 ml) ,299
02/11/2016,46,19571.23286,B07WS8B26C,Ancient Flower,Skin Care, Ancient Flower - Oil is Gold - Argan all Day Face Serum & Oil is Gold - Argan Night Face Serum & Rose and Gold - Rosehip Face Serum & Cuticle and Nail Oil (40ml) ,799
02/11/2016,47,10255.36401,B07VVDMJYN,Ancient Flower,Skin Care, Ancient flower - Rose Water - Premium Quality & Liquid Universe - Out of the world - Night face Magic serum (100ml + 10ml) ,299
02/11/2016,48,5051.885633,B07W56JY76,Ancient Flower,Skin Care, Ancient flower - Rose Water & A Royal Story Natural Vitamin C with Argan Night Repair Face Serum & Oil Is Gold - Argan Lip Oil (100 ml + 10 ml + 8 ml) ,349
02/11/2016,49,85858.97103,B07W42R2ZH,Ancient Flower,Skin Care, Ancient flower  Rose Water & Frankincense and Lemon  Face Serum & Lip Lust Natural Lip Oil (100 ml + 10 ml + 8 ml) ,349
02/11/2016,50,43825.41788,B00I4QAPY8,Ancient Living,Skin Care, Ancient Living Bergamot Essential Oil - 10ml ,210
02/11/2016,51,27005.84524,B07FXXWRTV,Ancient Living,Skin Care, Ancient Living Organic Skin Brightening Combo - Anti Ageing & Skin Nourishing properties (2 Face packs & Organic Rose water) ,620
02/11/2016,52,12090.8256,B07W4V2D6H,Ancy,Grocery & Gourmet Foods, Ancy 100% Natural Premium Californian Almonds 1kg(4X250g) ,899
02/11/2016,53,2120.960229,B07QHT49KZ,ANGTATVA,Hair Care," AngTatva Hair Growth Serum: Hair Serum For Hair Fall Control, Hair Treatment, Hair Growth, 30ML ",1495
02/11/2016,54,36082.29825,B007USZY7O,Annemarie,Skin Care, Annemarie Borlind Rose Dew Hydro Stimulant Cleansing Milk 5.07 fl. oz (150 ml) ,8179
02/11/2016,55,2268.104741,B07D56659X,Anself,Bath & Shower," Anself BUBM Shell Shape Toiletry Cosmetic Storage Bag Makeup Metal Zipper Handbag for Women Girls, Waterproof and Scratch-Resistant ",1599
02/11/2016,56,4043.194582,B07MP27JH6,Anself,Skin Care, Anself Digital Moisture Monitor for Skin Oil and Water Detector Pen Facial Skin Analyzer LCD Display Electronic Beauty Instrument ,1279
02/11/2016,57,193.5852449,B0734HBFS7,Anself,Skin Care, Anself Mens Metal Shaving Bowl Barber Brass Soap Mug Cup Face Cleaning Soap Bowl ,1169
02/11/2016,58,39092.01071,B07C1HRSRZ,BIELITA & VITEX,Skin Care," Anti Aging Line LASER LIKE system serum, mask, scrub, eye cream, face cream 40+ - Peeling ",2672
02/11/2016,59,7937.029729,B0020MMFZ4, ,Fragrance, ANTONIO BANDERAS Blue Seduction For Him Eau De Toilette 100ml ,1597
02/11/2016,60,3644.262356,B07H46PWQB,APS Cosmetofood,Skin Care," APS Cosmetofood Basil and Mint Mojito Serum, 50ml ",389
02/11/2016,61,2686.099002,B07Y419FQT,Aramaic,Fragrance, Aramaic GUESS | INSPIRED ATTAR | ALCOHOL FREE | 8 ML Floral Attar ,259
02/11/2016,62,1267.055908,B01AE1CY4Y,Arganicare,Hair Care, Arganicare Leave in Conditioner for Dry & Damaged Hair Enriched with Organic Argan Oil and Shea Butter (13.5 Fluid Ounce) ,3782
02/11/2016,63,11923.85351,B07C9WS2C4,AriaStarrBeauty,Skin Care, AriaStarrBeauty Aria Starr Coconut Milk Body Scrub  Best 100% Natural Skin Care Exfoliator & Moisturizer  12 OZ ,3682
02/11/2016,64,2420.772395,B00O76F0TO,ARITAUM,Skin Care," Aritaum Ginger Sugar Lip Balm Stick, 0.13 Ounce ",1639
02/11/2016,65,18160.01032,B00Q2POB02,ARMAF,Fragrance," Armaf Body Mist for Women, Tag Her, 250ml ",441
02/11/2016,66,3745.823398,B07XYFCDGM,ARMAF,Skin Care, Armaf Eternia Perfume Body Spray for Men  200ml ,295
02/11/2016,67,4283.55594,B07F36CBW3,Arochem,Fragrance, Arochem Magnet and H2o Deodrants For Men Women Body Spray ,310
02/11/2016,68,18265.71282,B012GN2UDI,Aroma Magic,Skin Care," AROMA MAGIC Face Wash Neem and Tea Tree, 50ml  Pack of 3 ",270
02/11/2016,69,3847.079237,B07VCDRLKN,Aromaplus,Skin Care, Aromaplus Herbal Amla Herbal Natural Powder(Pack of 3) ,275
